lam,int
616.90,2662.7
616.97,2482.8
617.03,2398.6
617.09,2402.5
617.16,2294.0
617.22,2243.7
617.29,2242.8
617.35,2388.1
617.42,2395.1
617.48,2286.6
617.55,2242.1
617.61,2225.5
617.68,2221.1
617.74,2222.4
617.81,2221.3
617.87,2226.8
617.94,2208.0
618.00,2076.9
618.07,2036.9
618.13,2106.0
618.19,2111.9
618.26,2030.1
618.32,2058.2
618.39,2148.8
618.45,2107.8
618.52,2069.8
618.58,2089.1
618.65,2195.4
618.71,2221.6
618.78,2107.0
618.84,2115.9
618.91,2200.8
618.97,2194.1
619.03,2131.6
619.10,2091.6
619.16,2152.4
619.23,2200.7
619.29,2112.5
619.36,2032.1
619.42,2108.7
619.49,2143.6
619.55,2037.4
619.62,2026.0
619.68,2111.8
619.74,2119.0
619.81,2080.8
619.87,2049.1
619.94,2060.9
620.00,2025.8
620.07,2001.5
620.13,2019.1
620.20,2108.5
620.26,2085.2
620.32,1965.4
620.39,2003.3
620.45,2040.9
620.52,2081.6
620.58,2032.7
620.65,2105.0
620.71,2287.2
620.78,2283.6
620.84,2255.6
620.90,2264.8
620.97,2413.3
621.03,2490.2
621.10,2477.6
621.16,2595.4
621.23,2728.0
621.29,2847.6
621.35,2784.9
621.42,2775.6
621.48,2885.1
621.55,2980.5
621.61,2915.0
621.68,2943.3
621.74,3031.3
621.80,2974.9
621.87,2905.7
621.93,2842.7
622.00,2846.7
622.06,2752.9
622.13,2736.0
622.19,2607.7
622.25,2612.6
622.32,2567.1
622.38,2406.6
622.45,2358.9
622.51,2383.9
622.58,2321.5
622.64,2147.3
622.70,2174.5
